Título,Descripción
"Los 'whatsapps' de Sánchez a Ábalos en 2023: ""He echado de menos muchas veces trabajar contigo, también tu amistad""","El presidente del Gobierno mantuvo contacto con el ex ministro tras destituirle hasta que lo recuperó para las listas electorales en 2023. ""Siempre he valorado mucho tu criterio político. También tu amistad"", le dijo&nbsp;<a href=""https://www.elmundo.es/espana/2025/05/11/6820d2efe4d4d8d6628b459e.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
"Page asegura que la presión de Sánchez con él ha sido ""ineficaz"" y Lambán apunta a su ""ira"" y ""pérdida de control"" cuando lo llamaba para quejarse","El presidente del Gobierno dio instrucciones a Ábalos para que ""marcara"" a los barones críticos&nbsp;<a href=""https://www.elmundo.es/espana/2025/05/12/68219831e85ecef75c8b458b.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
"El poder que Sánchez dio a Ábalos: ""Llama al petardo este""","""Era el hombre del presidente, con el que compartía ideas, estrategias de campaña y mamporros a los rivales, pero también enlaces de redes sociales, emoticonos, chanzas y risas""&nbsp;<a href=""https://www.elmundo.es/espana/2025/05/11/6820d3f721efa009538b4584.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
Feijóo comunica a los barones que adelanta el congreso del PP: será el 5 y 6 de julio en Madrid,"""Con el objetivo de activar el partido"" y para ""estar preparados"" ante el nuevo ciclo electoral, la formación celebrará la cita este verano, en el ecuador de la legislatura&nbsp;<a href=""https://www.elmundo.es/espana/2025/05/12/6821b638fdddffa38d8b4597.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
"Ayuso celebra el adelanto del Congreso del PP tras pedir ""acelerarlo"" por el ""runrún"": ""Es la oportunidad para convencer de que hay un proyecto alternativo al caos""","Tras los mensajes desvelados por EL MUNDO, la  presidenta madrileña carga contra Moncloa por ""pasar a cuchillo"" a Page, Lambán y Vara&nbsp;<a href=""https://www.elmundo.es/madrid/2025/05/12/6821a563e4d4d8e5228b459d.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
El Gobierno da un paso más para tratar de satisfacer a Puigdemont y llevará a votación la oficialidad del catalán en la UE,"Está previsto el próximo 27 de mayo y su aprobación se antoja muy improbable ya que se requiere unanimidad, por lo que no es descartable que Albares retire la propuesta en el último momento&nbsp;<a href=""https://www.elmundo.es/espana/2025/05/12/6821feb7fdddff85b98b456d.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
"La próxima exigencia de Puigdemont: que Cataluña tenga su propia reducción de jornada y ""pensiones catalanas que se ajusten al mayor coste de la vida""","El líder de Junts exige desde Bruselas ""especificidad"" para la comunidad catalana en plenas negociaciones para la rebaja de 40 a 37,5 horas semanales&nbsp;<a href=""https://www.elmundo.es/economia/2025/05/12/6821e2ede85ece3c678b456e.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
El misterio del robo de la caja fuerte vaticana heredado por el papa León XIV,"Unos aseguran que las 22 carpetas contenían información sobre la desaparecida niña Orlandi. Otros, que estaba el dossier completo de la corrupción en la Santa Sede y que el hurto fue preparado por alguien que salía señalado. En esta historia hay un cura español del Opus y su amante, la silla de montar con piedras preciosas que un árabe regaló a un papa, Naomi Campbell y la lucha que libró Francisco por la honradez&nbsp;<a href=""https://www.elmundo.es/cronica/2025/05/12/68205701e4d4d899398b4571.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
"El Papa pide la libertad para ""los periodistas encarcelados por contar la verdad""","""Solo un pueblo bien informado puedo tomar decisiones justas y apropiadas"", destaca el Pontífice&nbsp;<a href=""https://www.elmundo.es/internacional/2025/05/12/6821c689e4d4d8a06c8b45ae.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
Wall Street celebra la 'tregua' con China y da por terminada la guerra arancelaria,"El S&amp;P 500 supera los niveles del 'día de la liberación' con ganancias que superan el 2,5%. La tecnología americana, con firmas como Apple o Amaozn, se dispara&nbsp;<a href=""https://www.elmundo.es/economia/dinero-inversion/2025/05/12/6821f938fdddffa09d8b456d.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
La jueza que investiga la dana rechaza citar a la periodista que comió con Mazón y no ve responsabilidad penal del presidente de la CHJ,"La magistrada insiste en que no resulta ""factible"" trasladar la investigación al presidente de la Generalitat por su condición de aforado.&nbsp;<a href=""https://www.elmundo.es/comunidad-valenciana/2025/05/12/6821eea5e9cf4ae8068b456e.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
El juez del Supremo vuelve a citar a Miss Asturias y llama a declarar al ex director de Gabinete de la ex ministra Maroto,"Tras recibir un oficio de la Policía Local de Gijón sobre su paradero, el magistrado convoca a Claudia Montes el 21 de mayo después de no haber comparecido el pasado día 6&nbsp;<a href=""https://www.elmundo.es/espana/2025/05/12/6821dd45e4d4d8733e8b459e.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
"El misterio de la lucidez justo antes de morir: ""Hay momentos en los que la coherencia y la presencia de la persona parecen regresar""","El psicólogo húngaro Alexander Batthyány documenta en 'El umbral' un suceso desconcertante pero esperanzador: el súbito retorno de la conciencia en pacientes terminales con graves daños neurológicos&nbsp;<a href=""https://www.elmundo.es/papel/historias/2025/05/12/68163cf8fc6c83957d8b4576.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
"Rap, mucho gym y centros en los Pirineos: la vida tras dejar la droga de Kalu Rinpoché, la reencarnación del pionero budista de Occidente","Cuando andaba por los veinte confesó que era ""un fiestero al que se le fue la olla"" tras sufrir abusos de monjes corruptos. Ahora está mucho más cómodo en su papel de primera reencarnación del fundador del templo de Panillo (Huesca), uno de los grandes yoguis de la historia del budismo. Es el maestro del dharma más polémico&nbsp;<a href=""https://www.elmundo.es/cronica/2025/05/10/68138aebfdddff49478b4575.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
Xabi Alonso entrenará al Real Madrid desde el Mundial de Clubes,"El tolosarra asumirá el banquillo del conjunto blanco cuando acabe la Liga española y liderará al equipo a partir del torneo estadounidense, que arranca el 14 de junio. Ancelotti, con Brasil en junio.&nbsp;<a href=""https://www.elmundo.es/deportes/futbol/2025/05/12/6821c139e9cf4a9a6f8b458c.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
Brasil hace oficial la contratación de Ancelotti,"El todavía entrenador del Real Madrid será seleccionador brasileño tras la última jornada de Liga.&nbsp;<a href=""https://www.elmundo.es/deportes/futbol/2025/05/12/68220228e4d4d8cd7b8b4585.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
Los Mossos limitaron la investigación interna por la fuga de Puigdemont a los tres agentes que le ayudaron y a los días 7 y 8 de agosto,"Los cuatro agentes del cuerpo y el cabo de Asuntos Internos declaran ante la juez y explican que se ciñeron a analizar fotografías e imágenes que les proporcionaron sus superiores&nbsp;<a href=""https://www.elmundo.es/cataluna/2025/05/12/6821d8fae9cf4ad6068b4572.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
Polonia cierra el consulado de Rusia en la segunda ciudad más grande del país como represalia por el incendio por Moscú de un centro comercial en Varsovia,"El Gobierno polaco afirma tener pruebas de que el fuego fue un acto de sabotaje ordenado por los servicios de seguridad ruso&nbsp;<a href=""https://www.elmundo.es/internacional/2025/05/12/6821a733fc6c83493f8b456d.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
Nissan despedirá a otros 10.000 trabajadores en todo el mundo,"La compañía ya anunció 9.000 despidos el año pasado y el pasado 1 de abril Ivan Espinosa reemplazó a Makoto Uchida como nuevo CEO.&nbsp;<a href=""https://www.elmundo.es/motor/2025/05/12/6821fbb8e4d4d860058b4594.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
63 años entre los más buscados tras la fuga de Alcatraz,"Dos hermanos, los Anglin, y otro preso escaparon de ella en 1962. Nunca se les encontró. Ahora Trump quiere reabrir 'la Roca', convertida en museo tras la evasión&nbsp;<a href=""https://www.elmundo.es/cronica/2025/05/12/681e24eee4d4d805568b45b0.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
"Las familias de los fallecidos al despeñarse su coche en Cantabria impulsan una campaña para pedir quitamiedos en el Puerto de Lunada: ""Actúen ya, no más muertes evitables""","Los padres y amigos de los cuatro jóvenes muertos han iniciado una recogida de firmas en Change.org&nbsp;<a href=""https://www.elmundo.es/madrid/2025/05/12/681f20fffdddff19158b456d.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
"Cristianos LGTBI: ""Hemos tenido que salir del armario dos veces; como creyentes éramos traidores para el colectivo y como gays o trans la Iglesia también nos ha rechazado""","En plena resaca por la elección del nuevo Papa, varios creyentes del colectivo hablan de su compleja relación con la fe. Todos ellos hallaron en CRISMHOM, la Comunidad Cristiana LGTBI más importante de España, un lugar de encuentro donde encauzar dos realidades a menudo irreconciliables. O quizás no tanto...&nbsp;<a href=""https://www.elmundo.es/madrid/2025/05/12/681e5b95fdddffc39b8b459d.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
Hallados muertos tres jóvenes de 26 y 27 años en el interior de un coche volcado en el canal de Cartaya,"Los bomberos trabajan en reducir el nivel del agua para poder extraer los tres cuerpos del vehículo&nbsp;<a href=""https://www.elmundo.es/andalucia/2025/05/12/6821b7b1e4d4d899398b458f.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
"Irvine Welsh: ""Como sociedad queremos justicia, pero como individuos sólo buscamos venganza""","El eterno autor de ‘Trainspotting’ publica ‘Los cuchillos largos’, una ácida y lisérgica novela sobre la venganza, protagonizada por el atormentado inspector Ray Lennox, que nos sumerge en los peores abismos de la sociedad británica. ""En este mundo tecnofeudalista las élites cada vez tienen más poder""&nbsp;<a href=""https://www.elmundo.es/la-lectura/2025/05/12/681b6b20e85ece1e538b4577.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
"Las mejores hipotecas fijas, variables y mixtas de mayo de 2025","Detallamos a continuación <strong>las hipotecas más interesantes</strong> que existen en el mercado en estos momentos. Las clasificamos en tres grupos: fijas, mixtas y variables&nbsp;<a href=""https://www.elmundo.es/economia/ahorro-y-consumo/2025/05/12/6821c8a0fdddff011d8b4585.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
"Falsos pijos, bandas y carlistas en el Puente de Vallecas: ""Salían con banderas con el 'pollo' y de la OJE, los Boy Scouts de Falange. Se te ponían los pelos de punta""","&nbsp;<a href=""https://www.elmundo.es/madrid/2025/05/12/681ce7efe85ece0d278b457d.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
¿Cuánto tiempo le queda al Universo? Los científicos adelantan drásticamente la fecha de su final,"Tres investigadores holandeses calculan que los últimos remanentes estelares tardan unos 10 elevado a 78 años (10 seguido de 78 ceros) en desaparecer, lo que es mucho menos que los 10 elevado a 1.100 años previamente postulados&nbsp;<a href=""https://www.elmundo.es/ciencia-y-salud/ciencia/2025/05/12/6821da7efdddffe02e8b4597.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
"El nuevo disco de Damiano David: ""Un ex amor secreto mío me había quitado mi identidad. Me sentí muy solo. Y tuve que reconectarme""","El líder de Måneskin lanza Funny Little Fears el viernes 16 de mayo: ""Así es como me muestro diferente""&nbsp;<a href=""https://www.elmundo.es/cultura/2025/05/12/68219096fc6c8314378b45a6.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
